shipment_id,order_id,supplier_id,destination_warehouse_id,carrier_id,order_date,promised_delivery_date,actual_delivery_date,transit_days,promised_transit_days,on_time_flag,in_full_flag,weight_kg,quantity_units,freight_cost_usd,damage_reported_flag,delay_reason,shipment_status,transit_delay_days,otif_compliance_flag,freight_cost_per_kg,delivery_month
SHP-2026-00028,ORD-16826,SUP-022,WH-TYO-08,CAR-006,2026-04-08 10:00:00,2026-04-18,2026-04-17,9,10,1,1,1172.61,19,1626.24,0,,Delivered,-1,1,1.3869,2026-04
SHP-2026-00029,ORD-72070,SUP-042,WH-LON-06,CAR-004,2026-01-18 18:00:00,2026-01-20,2026-01-20,2,2,1,1,937.16,88,2207.85,0,,Delivered,0,1,2.3559,2026-01
SHP-2026-00030,ORD-50768,SUP-030,WH-CHI-02,CAR-004,2026-06-29 10:00:00,2026-07-03,2026-07-01,2,4,1,1,4338.62,408,12583.38,0,,In Transit,-2,1,2.9003,2026-07
SHP-2026-00031,ORD-23356,SUP-020,WH-DXB-10,CAR-001,2026-05-28 16:00:00,2026-06-02,2026-05-31,3,5,1,1,932.57,435,2462.16,0,,Delivered,-2,1,2.6402,2026-05
SHP-2026-00032,ORD-74251,SUP-037,WH-FRA-05,CAR-002,2026-01-11 11:00:00,2026-01-16,2026-01-16,5,5,1,1,2301.53,444,7151.65,0,,Delivered,0,1,3.1073,2026-01
SHP-2026-00033,ORD-80539,SUP-024,WH-CHI-02,CAR-007,2026-06-12 20:00:00,2026-06-17,2026-06-16,4,5,1,1,833.81,343,1849.97,0,,Delivered,-1,1,2.2187,2026-06
SHP-2026-00034,ORD-89997,SUP-028,WH-TYO-08,CAR-008,2026-06-01 10:00:00,2026-06-07,2026-06-07,6,6,1,1,1291.23,394,2472.96,0,,Delivered,0,1,1.9152,2026-06
SHP-2026-00035,ORD-46211,SUP-002,WH-SIN-07,CAR-006,2026-05-07 19:00:00,2026-05-13,2026-05-13,6,6,1,1,1628.97,153,2388.49,0,,Delivered,0,1,1.4663,2026-05
SHP-2026-00036,ORD-74332,SUP-034,WH-SYD-09,CAR-001,2026-02-18 07:00:00,2026-02-21,2026-02-20,2,3,1,1,2520.53,253,6002.99,0,,Delivered,-1,1,2.3816,2026-02
SHP-2026-00037,ORD-65771,SUP-006,WH-TYO-08,CAR-001,2026-03-17 09:00:00,2026-03-22,2026-03-21,4,5,1,1,3004.62,293,7440.13,0,,Delivered,-1,1,2.4762,2026-03
SHP-2026-00038,ORD-34267,SUP-023,WH-SYD-09,CAR-006,2026-06-29 13:00:00,2026-07-05,2026-07-05,6,6,1,1,586.92,71,843.21,0,,In Transit,0,1,1.4367,2026-07
SHP-2026-00039,ORD-11854,SUP-018,WH-ROT-04,CAR-008,2026-05-31 18:00:00,2026-06-08,2026-06-08,8,8,1,1,3755.2,194,6869.83,0,,Delivered,0,1,1.8294,2026-06
SHP-2026-00040,ORD-85243,SUP-018,WH-SYD-09,CAR-003,2026-01-12 06:00:00,2026-02-07,2026-02-07,26,26,1,1,2888.52,62,2764.2,0,,Delivered,0,1,0.957,2026-02
SHP-2026-00041,ORD-74454,SUP-031,WH-FRA-05,CAR-008,2026-04-23 11:00:00,2026-04-28,2026-04-27,4,5,1,1,4237.73,430,8179.41,0,,Delivered,-1,1,1.9301,2026-04
SHP-2026-00042,ORD-39581,SUP-010,WH-CHI-02,CAR-001,2026-02-08 18:00:00,2026-02-12,2026-02-16,8,4,0,1,2533.43,315,6361.16,0,Weather Disruption,Delivered,4,0,2.5109,2026-02
SHP-2026-00043,ORD-37235,SUP-029,WH-SYD-09,CAR-007,2026-04-24 10:00:00,2026-04-29,2026-04-27,3,5,1,1,318.02,60,793.42,0,,Delivered,-2,1,2.4949,2026-04
SHP-2026-00044,ORD-48175,SUP-043,WH-ROT-04,CAR-005,2026-01-21 08:00:00,2026-01-26,2026-01-26,5,5,1,1,746.57,362,1335.97,0,,Delivered,0,1,1.7895,2026-01
SHP-2026-00045,ORD-35928,SUP-019,WH-SEA-01,CAR-004,2026-06-30 10:00:00,2026-07-05,2026-07-09,9,5,0,1,3555.83,348,10054.27,0,Carrier Breakdown,Customs Processing,4,0,2.8275,2026-07
SHP-2026-00046,ORD-84607,SUP-042,WH-CHI-02,CAR-004,2026-02-08 20:00:00,2026-02-12,2026-02-12,4,4,1,1,315.39,314,933.0,0,,Delivered,0,1,2.9582,2026-02
SHP-2026-00047,ORD-66626,SUP-008,WH-FRA-05,CAR-008,2026-04-30 17:00:00,2026-05-06,2026-05-05,5,6,1,1,2277.1,51,4415.43,0,,Delivered,-1,1,1.9391,2026-05
SHP-2026-00048,ORD-45325,SUP-002,WH-LON-06,CAR-005,2026-01-24 09:00:00,2026-02-02,2026-01-31,7,9,1,1,2662.7,401,4222.75,0,,Delivered,-2,1,1.5859,2026-01
SHP-2026-00049,ORD-21959,SUP-049,WH-DXB-10,CAR-001,2026-02-14 13:00:00,2026-02-19,2026-02-19,5,5,1,1,4486.41,426,11329.87,0,,Delivered,0,1,2.5254,2026-02
SHP-2026-00050,ORD-82102,SUP-027,WH-TYO-08,CAR-006,2026-03-27 11:00:00,2026-04-05,2026-04-08,12,9,0,1,1881.82,349,2960.03,0,Carrier Breakdown,Delivered,3,0,1.573,2026-04
SHP-2026-00051,ORD-64165,SUP-006,WH-SEA-01,CAR-008,2026-03-22 10:00:00,2026-03-28,2026-04-04,13,6,0,1,3720.93,455,6197.73,0,Documentation Error,Delivered,7,0,1.6656,2026-04
SHP-2026-00052,ORD-73532,SUP-034,WH-SEA-01,CAR-004,2026-04-03 15:00:00,2026-04-08,2026-04-08,5,5,1,1,955.83,484,2646.11,0,,Delivered,0,1,2.7684,2026-04
SHP-2026-00053,ORD-24871,SUP-041,WH-CHI-02,CAR-001,2026-06-05 18:00:00,2026-06-08,2026-06-07,2,3,1,1,2501.23,57,6530.47,0,,Delivered,-1,1,2.6109,2026-06
SHP-2026-00054,ORD-82255,SUP-042,WH-TYO-08,CAR-002,2026-02-09 13:00:00,2026-02-13,2026-02-12,3,4,1,1,1898.93,251,6150.11,0,,Delivered,-1,1,3.2387,2026-02
SHP-2026-00055,ORD-76550,SUP-013,WH-DAL-03,CAR-007,2026-06-03 14:00:00,2026-06-06,2026-06-05,2,3,1,1,3488.4,184,8470.81,0,,Delivered,-1,1,2.4283,2026-06
SHP-2026-00056,ORD-59441,SUP-019,WH-FRA-05,CAR-001,2026-03-18 19:00:00,2026-03-23,2026-03-22,4,5,1,1,2446.68,292,6015.57,0,,Delivered,-1,1,2.4587,2026-03
SHP-2026-00057,ORD-59968,SUP-013,WH-TYO-08,CAR-006,2026-06-28 09:00:00,2026-07-06,2026-07-05,7,8,1,1,244.23,371,411.56,0,,Customs Processing,-1,1,1.6851,2026-07
SHP-2026-00058,ORD-12011,SUP-003,WH-DAL-03,CAR-008,2026-02-02 14:00:00,2026-02-10,2026-02-10,8,8,1,1,3940.15,279,7523.2,0,,Delivered,0,1,1.9094,2026-02
SHP-2026-00059,ORD-53065,SUP-042,WH-DAL-03,CAR-007,2026-02-09 07:00:00,2026-02-14,2026-02-13,4,5,1,1,1556.6,342,3621.28,0,,Delivered,-1,1,2.3264,2026-02
SHP-2026-00060,ORD-39817,SUP-021,WH-SYD-09,CAR-007,2026-06-10 17:00:00,2026-06-15,2026-06-15,5,5,1,1,2797.69,360,5701.43,0,,Delivered,0,1,2.0379,2026-06
SHP-2026-00061,ORD-48452,SUP-007,WH-CHI-02,CAR-007,2026-06-12 17:00:00,2026-06-14,2026-06-13,1,2,1,1,1382.62,176,2638.37,0,,Delivered,-1,1,1.9082,2026-06
SHP-2026-00062,ORD-60140,SUP-028,WH-LON-06,CAR-006,2026-02-07 09:00:00,2026-02-15,2026-02-13,6,8,1,1,3576.71,50,5102.15,0,,Delivered,-2,1,1.4265,2026-02
SHP-2026-00063,ORD-47700,SUP-032,WH-DXB-10,CAR-004,2026-05-30 08:00:00,2026-06-02,2026-06-01,2,3,1,1,2095.09,470,5992.24,0,,Delivered,-1,1,2.8601,2026-06
SHP-2026-00064,ORD-60422,SUP-005,WH-SYD-09,CAR-003,2026-04-24 11:00:00,2026-05-21,2026-05-20,26,27,1,1,3121.9,164,2751.93,0,,Delivered,-1,1,0.8815,2026-05
SHP-2026-00065,ORD-11061,SUP-016,WH-TYO-08,CAR-002,2026-04-08 15:00:00,2026-04-12,2026-04-10,2,4,1,1,1363.78,347,5045.29,0,,Delivered,-2,1,3.6995,2026-04
SHP-2026-00066,ORD-42850,SUP-039,WH-DXB-10,CAR-001,2026-05-08 19:00:00,2026-05-12,2026-05-12,4,4,1,1,2751.44,335,6779.43,0,,Delivered,0,1,2.464,2026-05
SHP-2026-00067,ORD-52823,SUP-041,WH-DAL-03,CAR-002,2026-06-15 06:00:00,2026-06-19,2026-06-19,4,4,1,1,2629.1,56,9125.85,0,,Delivered,0,1,3.4711,2026-06
SHP-2026-00068,ORD-73156,SUP-013,WH-SIN-07,CAR-003,2026-02-03 18:00:00,2026-03-01,2026-02-28,25,26,1,1,2412.29,435,2407.32,0,,Delivered,-1,1,0.9979,2026-02
SHP-2026-00069,ORD-83048,SUP-008,WH-FRA-05,CAR-006,2026-04-30 07:00:00,2026-05-05,2026-05-05,5,5,1,1,3877.63,213,6498.51,0,,Delivered,0,1,1.6759,2026-05
SHP-2026-00070,ORD-58689,SUP-026,WH-LON-06,CAR-002,2026-01-04 10:00:00,2026-01-06,2026-01-05,1,2,1,1,3383.1,205,10263.68,0,,Delivered,-1,1,3.0338,2026-01
SHP-2026-00071,ORD-49608,SUP-031,WH-CHI-02,CAR-004,2026-01-07 15:00:00,2026-01-11,2026-01-11,4,4,1,1,2932.05,247,8314.17,0,,Delivered,0,1,2.8356,2026-01
SHP-2026-00072,ORD-58629,SUP-009,WH-SIN-07,CAR-002,2026-01-12 06:00:00,2026-01-16,2026-01-16,4,4,1,1,482.5,79,1744.31,0,,Delivered,0,1,3.6152,2026-01
SHP-2026-00073,ORD-58566,SUP-038,WH-SYD-09,CAR-007,2026-02-09 20:00:00,2026-02-14,2026-02-13,4,5,1,1,2789.65,153,6922.81,0,,Delivered,-1,1,2.4816,2026-02
SHP-2026-00074,ORD-34878,SUP-029,WH-ROT-04,CAR-008,2026-03-02 19:00:00,2026-03-08,2026-03-14,12,6,0,1,4062.55,41,8218.05,0,Documentation Error,Delivered,6,0,2.0229,2026-03
SHP-2026-00075,ORD-36896,SUP-006,WH-CHI-02,CAR-008,2026-06-19 09:00:00,2026-06-28,2026-06-28,9,9,1,1,275.07,74,508.91,0,,Delivered,0,1,1.8501,2026-06
SHP-2026-00076,ORD-28964,SUP-038,WH-CHI-02,CAR-004,2026-02-25 19:00:00,2026-02-28,2026-02-28,3,3,1,1,3559.46,151,9983.81,0,,Delivered,0,1,2.8049,2026-02
SHP-2026-00077,ORD-44782,SUP-012,WH-DAL-03,CAR-005,2026-01-29 16:00:00,2026-02-08,2026-02-09,11,10,0,0,3565.43,175,6060.92,1,Carrier Breakdown,Delivered,1,0,1.6999,2026-02
SHP-2026-00078,ORD-76039,SUP-048,WH-SEA-01,CAR-003,2026-04-18 14:00:00,2026-05-07,2026-05-06,18,19,1,1,2044.82,313,1753.06,0,,Delivered,-1,1,0.8573,2026-05
SHP-2026-00079,ORD-24150,SUP-047,WH-ROT-04,CAR-001,2026-06-18 14:00:00,2026-06-22,2026-06-22,4,4,1,1,320.67,215,819.97,0,,Delivered,0,1,2.5571,2026-06
SHP-2026-00080,ORD-88301,SUP-005,WH-TYO-08,CAR-008,2026-01-21 11:00:00,2026-01-29,2026-02-01,11,8,0,1,2828.21,374,5627.79,0,Carrier Breakdown,Delivered,3,0,1.9899,2026-02
SHP-2026-00081,ORD-64239,SUP-030,WH-SYD-09,CAR-005,2026-05-10 15:00:00,2026-05-17,2026-05-19,9,7,0,1,3257.74,241,5498.7,0,Documentation Error,Delivered,2,0,1.6879,2026-05
SHP-2026-00082,ORD-72163,SUP-026,WH-LON-06,CAR-008,2026-04-17 17:00:00,2026-04-21,2026-04-20,3,4,1,1,3009.73,88,5636.43,0,,Delivered,-1,1,1.8727,2026-04
SHP-2026-00083,ORD-83620,SUP-006,WH-CHI-02,CAR-002,2026-01-24 12:00:00,2026-01-26,2026-01-25,1,2,1,1,3662.37,310,12113.01,0,,Delivered,-1,1,3.3074,2026-01
SHP-2026-00084,ORD-85748,SUP-027,WH-LON-06,CAR-002,2026-04-01 19:00:00,2026-04-06,2026-04-04,3,5,1,1,278.94,169,852.86,0,,Delivered,-2,1,3.0575,2026-04
SHP-2026-00085,ORD-39643,SUP-010,WH-SYD-09,CAR-004,2026-06-18 13:00:00,2026-06-21,2026-06-20,2,3,1,1,3811.91,400,10012.73,0,,Delivered,-1,1,2.6267,2026-06
SHP-2026-00086,ORD-84228,SUP-039,WH-SIN-07,CAR-001,2026-06-18 19:00:00,2026-06-22,2026-06-27,9,4,0,1,4150.84,102,10223.53,0,Carrier Breakdown,Delivered,5,0,2.463,2026-06
SHP-2026-00087,ORD-52517,SUP-010,WH-SIN-07,CAR-002,2026-06-12 06:00:00,2026-06-14,2026-06-14,2,2,1,1,1724.07,90,5537.52,0,,Delivered,0,1,3.2119,2026-06
SHP-2026-00088,ORD-45804,SUP-004,WH-DXB-10,CAR-002,2026-02-09 08:00:00,2026-02-11,2026-02-10,1,2,1,1,2021.85,320,6438.25,0,,Delivered,-1,1,3.1843,2026-02
SHP-2026-00089,ORD-88554,SUP-023,WH-ROT-04,CAR-002,2026-04-21 07:00:00,2026-04-25,2026-04-23,2,4,1,1,2215.52,33,7555.88,0,,Delivered,-2,1,3.4104,2026-04
SHP-2026-00090,ORD-26932,SUP-014,WH-SEA-01,CAR-001,2026-03-19 09:00:00,2026-03-22,2026-03-21,2,3,1,1,1510.14,392,3338.44,0,,Delivered,-1,1,2.2107,2026-03
SHP-2026-00091,ORD-66267,SUP-033,WH-SIN-07,CAR-004,2026-05-24 19:00:00,2026-05-28,2026-05-29,5,4,0,1,133.4,451,408.0,0,Port Congestion,Delivered,1,0,3.0585,2026-05
SHP-2026-00092,ORD-57428,SUP-046,WH-DXB-10,CAR-007,2026-06-13 12:00:00,2026-06-17,2026-06-18,5,4,0,1,814.84,245,2026.5,0,Carrier Breakdown,Delivered,1,0,2.487,2026-06
SHP-2026-00093,ORD-32037,SUP-007,WH-CHI-02,CAR-007,2026-03-04 12:00:00,2026-03-09,2026-03-08,4,5,1,1,3923.83,123,9259.68,0,,Delivered,-1,1,2.3599,2026-03
SHP-2026-00094,ORD-32740,SUP-034,WH-CHI-02,CAR-002,2026-05-11 09:00:00,2026-05-15,2026-05-13,2,4,1,1,3676.91,84,11066.51,0,,Delivered,-2,1,3.0097,2026-05
SHP-2026-00095,ORD-99277,SUP-049,WH-DXB-10,CAR-003,2026-06-17 07:00:00,2026-07-07,2026-07-05,18,20,1,1,2248.82,399,2152.98,0,,Delivered,-2,1,0.9574,2026-07
SHP-2026-00096,ORD-50685,SUP-041,WH-DXB-10,CAR-006,2026-03-22 08:00:00,2026-03-29,2026-04-06,15,7,0,1,3593.67,190,5807.87,0,Carrier Breakdown,Delivered,8,0,1.6161,2026-04
SHP-2026-00097,ORD-60394,SUP-003,WH-TYO-08,CAR-008,2026-01-15 11:00:00,2026-01-25,2026-01-23,8,10,1,1,3895.91,324,8336.03,0,,Delivered,-2,1,2.1397,2026-01
SHP-2026-00098,ORD-55015,SUP-029,WH-TYO-08,CAR-001,2026-05-27 16:00:00,2026-05-30,2026-05-29,2,3,1,1,2281.08,240,6635.49,0,,Delivered,-1,1,2.9089,2026-05
SHP-2026-00099,ORD-60779,SUP-003,WH-CHI-02,CAR-003,2026-03-05 17:00:00,2026-03-30,2026-03-28,23,25,1,1,2376.23,200,1914.01,0,,Delivered,-2,1,0.8055,2026-03
SHP-2026-00100,ORD-43029,SUP-044,WH-SIN-07,CAR-006,2026-06-03 06:00:00,2026-06-13,2026-06-12,9,10,1,1,343.31,357,478.07,0,,Delivered,-1,1,1.3925,2026-06
SHP-2026-00101,ORD-21104,SUP-022,WH-DXB-10,CAR-003,2026-01-21 15:00:00,2026-02-18,2026-02-24,34,28,0,1,4356.25,210,4108.43,0,Carrier Breakdown,Delivered,6,0,0.9431,2026-02
SHP-2026-00102,ORD-65496,SUP-042,WH-FRA-05,CAR-007,2026-03-26 19:00:00,2026-03-29,2026-03-27,1,3,1,1,4487.38,57,11060.68,0,,Delivered,-2,1,2.4648,2026-03
SHP-2026-00103,ORD-30308,SUP-002,WH-SYD-09,CAR-006,2026-04-03 10:00:00,2026-04-08,2026-04-07,4,5,1,1,4267.12,125,6694.35,0,,Delivered,-1,1,1.5688,2026-04
SHP-2026-00104,ORD-88282,SUP-007,WH-CHI-02,CAR-005,2026-05-10 18:00:00,2026-05-18,2026-05-16,6,8,1,1,217.98,402,381.86,0,,Delivered,-2,1,1.7518,2026-05
SHP-2026-00105,ORD-41133,SUP-011,WH-SIN-07,CAR-003,2026-02-16 19:00:00,2026-03-17,2026-03-17,29,29,1,1,3259.26,196,2529.65,0,,Delivered,0,1,0.7761,2026-03
SHP-2026-00106,ORD-67749,SUP-049,WH-TYO-08,CAR-005,2026-04-25 09:00:00,2026-05-03,2026-05-02,7,8,1,1,4072.69,357,6829.32,0,,Delivered,-1,1,1.6769,2026-05
SHP-2026-00107,ORD-16839,SUP-050,WH-TYO-08,CAR-005,2026-04-08 14:00:00,2026-04-16,2026-04-16,8,8,1,1,3685.17,80,7354.35,0,,Delivered,0,1,1.9957,2026-04
SHP-2026-00108,ORD-77286,SUP-036,WH-TYO-08,CAR-006,2026-01-27 17:00:00,2026-02-06,2026-02-06,10,10,1,1,1318.53,149,2232.8,0,,Delivered,0,1,1.6934,2026-02
SHP-2026-00109,ORD-20696,SUP-006,WH-DAL-03,CAR-007,2026-02-26 19:00:00,2026-03-03,2026-03-03,5,5,1,1,1896.29,201,4057.62,0,,Delivered,0,1,2.1398,2026-03
SHP-2026-00110,ORD-71925,SUP-002,WH-LON-06,CAR-004,2026-03-23 20:00:00,2026-03-25,2026-03-24,1,2,1,1,1542.04,29,3784.04,0,,Delivered,-1,1,2.4539,2026-03
SHP-2026-00111,ORD-47762,SUP-029,WH-DAL-03,CAR-008,2026-06-07 06:00:00,2026-06-11,2026-06-15,8,4,0,1,2492.18,280,5155.36,0,Customs Hold,Delivered,4,0,2.0686,2026-06
SHP-2026-00112,ORD-80261,SUP-008,WH-ROT-04,CAR-005,2026-01-13 09:00:00,2026-01-20,2026-01-18,5,7,1,1,2084.16,473,3403.85,0,,Delivered,-2,1,1.6332,2026-01
SHP-2026-00113,ORD-57265,SUP-046,WH-SEA-01,CAR-004,2026-02-06 10:00:00,2026-02-11,2026-02-17,11,5,0,1,2589.45,352,6437.64,0,Customs Hold,Delivered,6,0,2.4861,2026-02
SHP-2026-00114,ORD-96127,SUP-025,WH-CHI-02,CAR-001,2026-05-01 06:00:00,2026-05-06,2026-05-05,4,5,1,1,3375.56,44,8329.07,0,,Delivered,-1,1,2.4675,2026-05
SHP-2026-00115,ORD-72722,SUP-009,WH-CHI-02,CAR-006,2026-01-12 11:00:00,2026-01-20,2026-01-18,6,8,1,1,829.15,247,1410.06,0,,Delivered,-2,1,1.7006,2026-01
SHP-2026-00116,ORD-81176,SUP-005,WH-DAL-03,CAR-003,2026-04-28 06:00:00,2026-05-20,2026-05-20,22,22,1,1,3991.77,168,3374.95,0,,Delivered,0,1,0.8455,2026-05
SHP-2026-00117,ORD-67272,SUP-003,WH-TYO-08,CAR-005,2026-06-15 09:00:00,2026-06-21,2026-06-21,6,6,1,1,3902.8,73,6827.01,0,,Delivered,0,1,1.7493,2026-06
SHP-2026-00118,ORD-65640,SUP-025,WH-SIN-07,CAR-008,2026-03-28 08:00:00,2026-04-04,2026-04-03,6,7,1,1,4163.18,420,8131.52,0,,Delivered,-1,1,1.9532,2026-04
SHP-2026-00119,ORD-65851,SUP-039,WH-CHI-02,CAR-007,2026-02-16 14:00:00,2026-02-20,2026-02-20,4,4,1,1,1509.24,238,3133.56,0,,Delivered,0,1,2.0763,2026-02
SHP-2026-00120,ORD-17518,SUP-023,WH-DAL-03,CAR-008,2026-04-25 06:00:00,2026-05-04,2026-05-03,8,9,1,1,2786.09,337,5311.38,0,,Delivered,-1,1,1.9064,2026-05
SHP-2026-00121,ORD-18812,SUP-024,WH-CHI-02,CAR-007,2026-05-12 18:00:00,2026-05-15,2026-05-15,3,3,1,1,3826.58,234,8866.94,0,,Delivered,0,1,2.3172,2026-05
SHP-2026-00122,ORD-85225,SUP-024,WH-ROT-04,CAR-006,2026-04-09 15:00:00,2026-04-13,2026-04-11,2,4,1,1,2052.16,237,3112.99,0,,Delivered,-2,1,1.5169,2026-04
SHP-2026-00123,ORD-83619,SUP-026,WH-DAL-03,CAR-006,2026-03-22 16:00:00,2026-03-28,2026-03-28,6,6,1,1,165.31,275,237.01,0,,Delivered,0,1,1.4337,2026-03
SHP-2026-00124,ORD-27790,SUP-050,WH-CHI-02,CAR-005,2026-03-08 17:00:00,2026-03-15,2026-03-13,5,7,1,1,1320.82,261,2715.81,0,,Delivered,-2,1,2.0562,2026-03
SHP-2026-00125,ORD-49315,SUP-012,WH-CHI-02,CAR-008,2026-04-24 07:00:00,2026-05-04,2026-05-03,9,10,1,1,3021.89,291,6221.45,0,,Delivered,-1,1,2.0588,2026-05
SHP-2026-00126,ORD-58353,SUP-024,WH-DAL-03,CAR-003,2026-05-11 09:00:00,2026-05-30,2026-05-30,19,19,1,1,1103.48,194,983.17,0,,Delivered,0,1,0.891,2026-05
